cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,mission_budget_s,mission_window_adaptation,status,duration_s,error
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H0,0,794591686,6,60.0,4,clean,0.0,1.0,3.5,1.0,1.0,0.75,0.0,1.0,0.8166666666666667,2.4137995646056796,1.0,0.8166666666666667,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2810998125,0.3571666666666667,0.6958721280097961,0.952066125,0.7925,0.5790830254554749,0.952066125,0.6709663125,5,,0.9,,,ok,27.040594577789307,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H1,0,794591686,6,60.0,4,clean,0.0,1.0,1.5,1.0,0.5,0.0,0.0,1.0,0.9876543209876543,2.5752515262260385,0.5,0.5,1.0,1.6153846153846154,4,4,0,3.25,4.0,10.873361885547638,6,60.0,4,0.2810998125,0.3571666666666667,0.6958721280097961,0.9455766875000001,0.8721666666666666,0.6015138030052185,0.9455766875000001,0.6644768750000001,5,,0.9,120.0,0,ok,53.32856750488281,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H0,1,134674000,6,60.0,4,clean,0.0,1.0,3.25,1.0,1.0,0.75,0.0,1.0,0.8047619047619048,2.4116022179746714,1.0,0.8047619047619048,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.273697875,0.3541666666666667,0.6958925127983093,0.9491522499999999,0.9046666666666666,0.5703864097595215,0.9491522499999999,0.6754543749999999,5,4,0.9,,,ok,20.919004440307617,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H1,1,134674000,6,60.0,4,clean,0.0,1.0,1.5,0.75,0.25,0.25,0.0,1.0,0.9537953795379538,2.5485652260309175,0.6666666666666666,0.6,0.75,1.3846153846153846,3,4,0,3.25,3.0,8.245054244995117,6,60.0,4,0.273697875,0.3541666666666667,0.6958925127983093,0.9293461249999999,0.8203333333333334,0.6379789113998413,0.9293461249999999,0.6556482499999999,4,,0.9,120.0,0,ok,47.08418560028076,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H0,2,4260028152,6,60.0,4,clean,0.0,1.0,4.5,1.0,1.0,1.0,0.0,1.0,0.8709677419354839,2.4613201402110088,1.0,0.8709677419354839,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.27154587500000005,0.35633333333333334,0.6958808302879333,0.9583400000000001,0.8263333333333334,0.5791431069374084,0.9583400000000001,0.686794125,5,,0.9,,,ok,22.118223190307617,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H1,2,4260028152,6,60.0,4,clean,0.0,1.0,3.0,0.75,0.75,0.5,0.0,1.0,0.993127147766323,2.579863401068534,1.0,0.9230769230769231,0.75,1.6666666666666667,3,4,0,3.0,3.0,7.242800652980804,6,60.0,4,0.27154587500000005,0.35633333333333334,0.6958808302879333,0.8991225625000001,0.8446666666666667,0.6417289972305298,0.8991225625000001,0.6275766875000001,4,,0.9,120.0,0,ok,42.95681834220886,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H0,3,207594011,6,60.0,4,clean,0.0,1.0,3.0,1.0,1.0,0.75,0.0,1.0,0.8,2.418295834054489,1.0,0.8,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.260518625,0.35383333333333333,0.6959231495857239,0.9432651875000001,0.799,0.576971173286438,0.9432651875000001,0.6827465625000001,5,,0.9,,,ok,19.907265186309814,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H1,3,207594011,6,60.0,4,clean,0.0,1.0,2.5,1.0,0.75,0.5,0.0,1.0,0.9712643678160919,2.560852929836193,0.8333333333333334,0.7575757575757576,1.0,2.3333333333333335,4,4,0,2.25,3.0,5.669348835945129,6,60.0,4,0.260518625,0.35383333333333333,0.6959231495857239,0.9610333125,0.9403333333333334,0.5750921964645386,0.9610333125,0.7005146875,5,4,0.9,120.0,0,ok,33.393117904663086,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H0,4,3248946730,6,60.0,4,clean,0.0,1.0,3.5,1.0,0.75,0.75,0.0,1.0,0.9074074074074074,2.5027361715940035,1.0,0.9074074074074074,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2652964375,0.3591666666666667,0.6959114670753479,0.9525308124999999,0.8356666666666667,0.5609632134437561,0.9525308124999999,0.687234375,5,,0.9,,,ok,20.659918546676636,
N=6|dead_zone=0.0|link_quality=1.0|n_missions=4|regime=clean|rrf=60.0,H1,4,3248946730,6,60.0,4,clean,0.0,1.0,2.25,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,1.0,0.9,1.0,2.0,4,4,0,3.0,3.0,8.692432940006256,6,60.0,4,0.2652964375,0.3591666666666667,0.6959114670753479,0.9656616250000001,0.8613333333333333,0.5715003609657288,0.9656616250000001,0.7003651875000001,5,,0.9,120.0,0,ok,45.265588998794556,
