cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,mission_budget_s,mission_window_adaptation,status,duration_s,error
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,0,2445965193,6,60.0,4,jittery,0.0,0.3,1.0,0.75,0.25,0.0,0.0,0.5,0.4444444444444444,1.5,0.5,0.4444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.26024768750000005,0.3595,0.6959475874900818,0.9436703750000002,0.8038333333333333,0.6197515726089478,0.9436703750000002,0.6834226875000001,5,,0.9,,,ok,18.833297729492188,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,0,2445965193,6,60.0,4,jittery,0.0,0.3,2.0,1.0,0.75,0.25,0.0,1.0,0.9473684210526315,2.5419822842863984,0.6666666666666666,0.6666666666666666,1.0,1.6363636363636365,4,4,0,2.75,3.5,6.437671601772308,6,60.0,4,0.26024768750000005,0.3595,0.6959475874900818,0.933405625,0.8686666666666667,0.5769491195678711,0.933405625,0.6731579375,5,,0.9,120.0,0,ok,36.08213829994202,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,1,2190988607,6,60.0,4,jittery,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2625445625,0.35633333333333334,0.6959373950958252,0.9023314375,0.7968333333333333,0.6751897931098938,0.9023314375,0.639786875,5,,0.9,,,ok,9.396304607391357,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,1,2190988607,6,60.0,4,jittery,0.0,0.3,1.25,0.75,0.5,0.0,0.0,1.0,0.9818181818181818,2.571541671821925,0.5,0.46296296296296297,0.75,1.6153846153846154,3,4,0,3.25,3.0,9.981052577495575,6,60.0,4,0.2625445625,0.35633333333333334,0.6959373950958252,0.9218478750000001,0.7916666666666666,0.6406708359718323,0.9218478750000001,0.6593033125000001,4,,0.9,120.0,0,ok,49.977185010910034,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,2,1675044949,6,60.0,4,jittery,0.0,0.3,1.0,0.75,0.25,0.0,0.0,0.5,0.4444444444444444,1.5,0.5,0.4444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.26341856249999995,0.3576666666666667,0.695913553237915,0.8926473125000001,0.7781666666666667,0.637349545955658,0.8926473125000001,0.6292287500000001,5,,0.9,,,ok,11.706669807434082,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,2,1675044949,6,60.0,4,jittery,0.0,0.3,1.5,1.0,0.5,1.0,0.0,1.0,0.8620689655172413,2.466253399951849,0.5,0.5,1.0,1.0,4,4,0,3.0,5.0,6.32908433675766,6,60.0,4,0.26341856249999995,0.3576666666666667,0.695913553237915,0.9281785,0.8806666666666667,0.5648908019065857,0.9281785,0.6647599375000001,5,,0.9,120.0,0,ok,38.00048232078552,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,3,288359827,6,60.0,4,jittery,0.0,0.3,1.25,0.5,0.5,0.25,0.0,0.6666666666666666,0.5952380952380952,1.9219280948873623,0.6666666666666666,0.5952380952380952,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.2719461875,0.3605,0.6958975195884705,0.7999708750000001,0.7446666666666667,0.6758244037628174,0.7999708750000001,0.5280246875000001,5,,0.9,,,ok,15.412033796310425,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,3,288359827,6,60.0,4,jittery,0.0,0.3,1.0,0.75,0.25,0.0,0.0,1.0,0.9,2.5032583347756456,0.6666666666666666,0.6666666666666666,0.75,1.6666666666666667,3,4,0,2.25,2.25,7.569685101509094,6,60.0,4,0.2719461875,0.3605,0.6958975195884705,0.933689875,0.8721666666666666,0.6216301321983337,0.933689875,0.6617436875,4,,0.9,120.0,0,ok,41.14448142051697,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H0,4,1184982943,6,60.0,4,jittery,0.0,0.3,1.75,1.0,0.5,0.25,0.0,0.6666666666666666,0.5444444444444444,1.8423709931771084,0.6666666666666666,0.5444444444444444,,,4,0,0,0.0,0.0,0.0,6,60.0,4,0.29059,0.3555,0.6958067417144775,0.945889125,0.8301666666666667,0.5647965669631958,0.945889125,0.655299125,5,,0.9,,,ok,14.538201808929443,
N=6|dead_zone=0.0|link_quality=0.3|n_missions=4|regime=jittery|rrf=60.0,H1,4,1184982943,6,60.0,4,jittery,0.0,0.3,2.0,0.75,0.75,0.5,0.0,1.0,0.9730639730639731,2.564214313549726,0.6666666666666666,0.5333333333333333,0.75,1.3571428571428572,3,4,0,3.5,3.25,9.091796815395355,6,60.0,4,0.29059,0.3555,0.6958067417144775,0.915645375,0.8676666666666667,0.6449427604675293,0.915645375,0.625055375,4,,0.9,120.0,0,ok,46.236847162246704,
