cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,0,3953143663,6,60.0,4,jittery,0.6,0.5,2.25,0.75,0.75,0.5,0.0,1.0,0.9908896034297964,2.578259443829153,0.6666666666666666,0.6428571428571429,0.75,1.263157894736842,1,4,0,4.75,3.25,10.66161584854126,6,60.0,4,0.24952618749999997,0.3526666666666667,0.6959915161132812,0.8576255,0.7416666666666667,0.6709476709365845,0.8576255,0.6080993125,2,,0.9,ok,84.96981596946716,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,0,3953143663,6,60.0,4,jittery,0.6,0.5,0.75,0.5,0.25,0.0,0.0,1.0,0.972972972972973,2.5634723925037775,0.3333333333333333,0.3,0.5,1.2,2,4,0,5.0,2.5,11.337692499160767,6,60.0,4,0.24952618749999997,0.3526666666666667,0.6959915161132812,0.9630139375,0.7985,0.5540894269943237,0.9630139375,0.71348775,3,,0.9,ok,73.3831467628479,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,1,999081842,6,60.0,4,jittery,0.6,0.5,1.75,1.0,0.5,0.25,0.0,1.0,0.9876543209876543,2.5761207468426806,0.5,0.3888888888888889,1.0,1.5,4,4,0,4.0,4.0,9.846806228160858,6,60.0,4,0.26366643749999996,0.359,0.6959460973739624,0.9801309375,0.8978333333333334,0.2989404797554016,0.9801309375,0.7164645000000001,5,2,0.9,ok,59.355308532714844,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,1,999081842,6,60.0,4,jittery,0.6,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.9918032786885246,2.578992712198113,0.0,1.0,0.0,1.5,0,4,0,4.0,0.0,9.25105232000351,6,60.0,4,0.26366643749999996,0.359,0.6959460973739624,0.26366643749999996,0.359,0.6959460973739624,0.26366643749999996,0.0,1,,0.9,ok,53.68641233444214,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,3,1700165113,6,60.0,4,jittery,0.6,0.5,2.0,1.0,0.5,0.25,0.0,1.0,0.9932432432432432,2.5800385460659063,1.0,0.8888888888888888,1.0,1.6,4,4,0,3.75,3.25,12.013160586357117,6,60.0,4,0.2577108125,0.35383333333333333,0.6959399580955505,0.9885059375000002,0.9456666666666667,0.2925722002983093,0.9885059375000002,0.7307951250000002,5,4,0.9,ok,121.14884734153748,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,4,2044159653,6,60.0,4,jittery,0.6,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.993127147766323,2.5798634010685344,0.3333333333333333,0.3333333333333333,0.5,1.5,2,4,0,4.0,2.0,11.024863243103027,6,60.0,4,0.26550025,0.3565,0.6959371566772461,0.9707709999999999,0.8195,0.5565952062606812,0.9707709999999999,0.70527075,3,,0.9,ok,82.63595700263977,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,5,2195781749,6,60.0,4,jittery,0.6,0.5,0.25,0.25,0.0,0.0,0.0,1.0,1.0,2.584962500721156,0.16666666666666666,0.16666666666666666,0.25,1.5,1,4,0,4.0,1.0,9.982634365558624,6,60.0,4,0.27189437499999997,0.35633333333333334,0.6958802342414856,0.8775975,0.7118333333333333,0.6661327481269836,0.8775975,0.605703125,2,,0.9,ok,62.70604205131531,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,5,2195781749,6,60.0,4,jittery,0.6,0.5,2.5,1.0,0.75,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,1.0,0.7575757575757576,1.0,1.6,4,4,0,3.75,3.5,9.902733266353607,6,60.0,4,0.27189437499999997,0.35633333333333334,0.6958802342414856,0.989397,0.92,0.2776188850402832,0.989397,0.7175026250000001,5,4,0.9,ok,64.0660035610199,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,2,1695084382,6,60.0,4,jittery,0.6,0.5,2.0,1.0,0.75,0.25,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7619047619047619,1.0,2.0,4,4,0,3.0,3.0,8.8637415766716,6,60.0,4,0.27215649999999997,0.35533333333333333,0.6958763003349304,0.9867570000000001,0.9025,0.3274206221103668,0.9867570000000001,0.7146005000000002,5,4,0.9,ok,53.140700578689575,
N=6|dead_zone=0.6|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,2,1695084382,6,60.0,4,jittery,0.6,0.5,2.0,1.0,0.75,0.25,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7619047619047619,1.0,2.0,4,4,0,3.0,3.0,8.83010882139206,6,60.0,4,0.27215649999999997,0.35533333333333333,0.6958763003349304,0.9867570000000001,0.9025,0.3274206221103668,0.9867570000000001,0.7146005000000002,5,4,0.9,ok,46.73101091384888,
