cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,0,2544675704,6,60.0,4,jittery,0.4,0.5,0.75,0.75,0.0,0.0,0.0,1.0,0.966183574879227,2.55887184844536,0.3333333333333333,0.3,0.75,1.5,2,4,0,4.0,3.0,12.09953659772873,6,60.0,4,0.26616399999999996,0.35933333333333334,0.6959033012390137,0.90878475,0.8193333333333334,0.6579186916351318,0.90878475,0.6426207500000001,3,,0.9,ok,89.4947726726532,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,0,2544675704,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.0,0.0,1.0,0.9863123993558777,2.5749947193376044,0.5,0.5,0.5,1.5,2,4,0,4.0,2.0,11.664287149906158,6,60.0,4,0.26616399999999996,0.35933333333333334,0.6959033012390137,0.8883951875,0.8311666666666667,0.669389545917511,0.8883951875,0.6222311875000001,3,,0.9,ok,79.4966950416565,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,1,1047897470,6,60.0,4,jittery,0.4,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.9868421052631579,2.575279365539379,0.5,0.4444444444444444,0.5,1.411764705882353,2,4,0,4.25,2.5,9.417226195335388,6,60.0,4,0.26132875,0.35983333333333334,0.6959125995635986,0.8292639375,0.6843333333333333,0.6585760712623596,0.8292639375,0.5679351875,3,,0.9,ok,58.112743854522705,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,1,1047897470,6,60.0,4,jittery,0.4,0.5,0.25,0.25,0.0,0.0,0.0,1.0,0.9801864801864801,2.5704397390021456,0.16666666666666666,0.16666666666666666,0.25,1.5,1,4,0,4.0,1.0,9.669522404670715,6,60.0,4,0.26132875,0.35983333333333334,0.6959125995635986,0.6648393125000001,0.5255,0.6804459095001221,0.6648393125000001,0.40351056250000006,2,,0.9,ok,68.12622714042664,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,2,2768330049,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,60.0,4,,,,,,,,,0,,,ok,79.07155346870422,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,2,2768330049,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,60.0,4,,,,,,,,,0,,,ok,84.08592891693115,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,3,959927020,6,60.0,4,jittery,0.4,0.5,1.25,1.0,0.25,0.0,0.0,1.0,0.9970344009489917,2.5827423149511795,0.5,0.46296296296296297,1.0,1.5,3,4,0,4.0,4.0,10.563230454921722,6,60.0,4,0.25684806250000003,0.3545,0.6959741115570068,0.9169358750000001,0.7146666666666667,0.6440086960792542,0.9169358750000001,0.6600878125,4,,0.9,ok,76.84893727302551,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,3,959927020,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6,60.0,4,,,,,,,,,0,,,ok,79.31308937072754,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H2,4,3214064870,6,60.0,4,jittery,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.955026455026455,2.549787381523038,0.0,1.0,0.0,1.5,0,4,0,4.0,0.0,10.627926588058472,6,60.0,4,0.261634125,0.357,0.6959341764450073,0.261634125,0.357,0.6959341764450073,0.261634125,0.0,1,,0.9,timeout,127.6689682006836,trial took 127.7s (soft cap 120.0s)
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H3,4,3214064870,6,60.0,4,jittery,0.4,0.5,0.5,0.25,0.25,0.0,0.0,1.0,1.0,2.584962500721156,0.3333333333333333,0.3333333333333333,0.25,1.5,1,4,0,4.0,0.75,9.267698168754578,6,60.0,4,0.261634125,0.357,0.6959341764450073,0.7515066875,0.7791666666666667,0.6775175333023071,0.7515066875,0.48987256250000005,2,,0.9,ok,63.11612367630005,
