cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,0,2544675704,6,60.0,4,jittery,0.4,0.5,0.25,0.25,0.0,0.0,0.0,1.0,0.983739837398374,2.572623663895164,0.16666666666666666,0.16666666666666666,0.25,1.4444444444444444,1,4,0,2.25,1.0,6.678349256515503,6,60.0,4,0.26616399999999996,0.35933333333333334,0.6959033012390137,0.8929850625,0.8385,0.6576246023178101,0.8929850625,0.6268210625,2,,0.9,ok,42.76079297065735,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,1,1047897470,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.25,0.0,1.0,0.9146341463414634,2.523231428797621,0.3333333333333333,0.3,0.5,1.25,2,4,0,2.0,2.0,4.594392716884613,6,60.0,4,0.26132875,0.35983333333333334,0.6959125995635986,0.93529225,0.7913333333333333,0.6030344367027283,0.93529225,0.6739635,3,,0.9,ok,28.879794597625732,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,2,2768330049,6,60.0,4,jittery,0.4,0.5,1.25,1.0,0.25,0.25,0.0,1.0,0.8848987108655617,2.487608298530855,0.5,0.46296296296296297,1.0,1.4444444444444444,3,4,0,2.25,5.0,7.031061828136444,6,60.0,4,0.27922025,0.3541666666666667,0.6958653330802917,0.97557775,0.8851666666666667,0.45696768164634705,0.97557775,0.6963575,4,,0.9,ok,42.574519872665405,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,3,959927020,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.25,0.0,1.0,0.9712643678160919,2.5626009133151726,0.3333333333333333,0.3,0.5,1.8,2,4,0,2.5,2.0,7.458770751953125,6,60.0,4,0.25684806250000003,0.3545,0.6959741115570068,0.9677534999999999,0.9205,0.5731279850006104,0.9677534999999999,0.7109054374999999,3,2,0.9,ok,40.364646434783936,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,4,3214064870,6,60.0,4,jittery,0.4,0.5,1.0,0.75,0.25,0.0,0.0,1.0,0.9588014981273408,2.5537289082033148,0.5,0.4444444444444444,0.75,1.5384615384615385,3,4,0,3.25,2.75,9.667445003986359,6,60.0,4,0.261634125,0.357,0.6959341764450073,0.9828079999999999,0.83,0.4171401858329773,0.9828079999999999,0.7211738749999999,4,,0.9,ok,52.807005405426025,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,5,3768096270,6,60.0,4,jittery,0.4,0.5,1.25,1.0,0.25,0.25,0.0,1.0,0.9003115264797508,2.495824228840344,0.5,0.3787878787878788,1.0,2.0,4,4,0,2.0,3.0,7.184453666210175,6,60.0,4,0.26125112500000003,0.3576666666666667,0.6959161758422852,0.9874626250000001,0.9306666666666666,0.3015880286693573,0.9874626250000001,0.7262115000000001,5,3,0.9,ok,39.71950078010559,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,6,44498162,6,60.0,4,jittery,0.4,0.5,2.0,1.0,0.75,0.25,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7619047619047619,1.0,2.0,4,4,0,3.0,3.0,8.059094369411469,6,60.0,4,0.25220968749999995,0.35833333333333334,0.6959929466247559,0.9874735000000001,0.9156666666666666,0.28629574179649353,0.9874735000000001,0.7352638125000002,5,4,0.9,ok,44.592905044555664,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,7,1089721701,6,60.0,4,jittery,0.4,0.5,1.25,0.75,0.25,0.25,0.0,1.0,0.9826175869120655,2.571987554517059,0.6666666666666666,0.5952380952380952,0.75,2.7142857142857144,3,4,0,1.75,2.0,5.584116995334625,6,60.0,4,0.2759474375,0.35633333333333334,0.6959259510040283,0.9688604375,0.8501666666666666,0.4175630807876587,0.9688604375,0.6929129999999999,4,,0.9,ok,33.88641881942749,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,8,852568211,6,60.0,4,jittery,0.4,0.5,1.5,1.0,0.5,1.0,0.0,1.0,0.870600414078675,2.4760014634164067,0.5,0.3333333333333333,1.0,1.5,3,4,0,2.0,5.0,5.645253956317902,6,60.0,4,0.27447993750000005,0.3515,0.6959113478660583,0.9795437500000002,0.8788333333333334,0.4094875156879425,0.9795437500000002,0.7050638125000002,4,,0.9,ok,35.653252840042114,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,9,2755116970,6,60.0,4,jittery,0.4,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.927536231884058,2.5306390622295662,0.16666666666666666,0.16666666666666666,0.5,1.4285714285714286,2,4,0,1.75,2.0,4.671602129936218,6,60.0,4,0.26195825,0.3551666666666667,0.6959208846092224,0.9328638125000001,0.8678333333333333,0.5894119143486023,0.9328638125000001,0.6709055625,3,,0.9,ok,29.544010162353516,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,10,1196297180,6,60.0,4,jittery,0.4,0.5,2.0,1.0,1.0,1.0,0.0,1.0,0.8928571428571429,2.4961399650265075,0.5,0.41025641025641024,1.0,1.5,4,4,0,2.0,4.0,4.772742450237274,6,60.0,4,0.25212362499999996,0.35833333333333334,0.6959930062294006,0.9860038750000001,0.9163333333333333,0.31066036224365234,0.9860038750000001,0.7338802500000001,5,4,0.9,ok,31.32512354850769,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,11,155452644,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.25,0.0,1.0,0.9388888888888889,2.5374077582361885,0.5,0.5,0.5,2.0,2,4,0,2.0,2.0,7.053774416446686,6,60.0,4,0.24898312500000003,0.3526666666666667,0.695993185043335,0.9468211874999999,0.8405,0.5853210091590881,0.9468211874999999,0.6978380624999998,3,,0.9,ok,47.770257234573364,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,12,2965768413,6,60.0,4,jittery,0.4,0.5,1.75,1.0,0.5,0.25,0.0,1.0,0.9941176470588236,2.580689952806082,0.6666666666666666,0.5444444444444444,1.0,2.090909090909091,4,4,0,2.75,3.0,9.595861256122589,6,60.0,4,0.272618,0.35633333333333334,0.6958786845207214,0.9905490625,0.8693333333333333,0.33733922243118286,0.9905490625,0.7179310624999999,5,,0.9,ok,53.052849769592285,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,13,2746135771,6,60.0,4,jittery,0.4,0.5,0.75,0.5,0.25,0.25,0.0,1.0,0.9074074074074074,2.512129639189997,0.3333333333333333,0.3,0.5,1.375,2,4,0,2.0,2.0,5.459532380104065,6,60.0,4,0.2791208125,0.357,0.6958795785903931,0.9624790625,0.8838333333333334,0.5805137753486633,0.9624790625,0.6833582500000001,3,,0.9,ok,36.401406049728394,
