cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,status,duration_s,error
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,0,2544675704,6,60.0,4,jittery,0.4,0.5,1.25,0.75,0.5,0.0,0.0,1.0,0.9973031283710896,2.583068887911025,0.6666666666666666,0.5952380952380952,0.75,1.5,3,4,0,4.0,3.0,12.671523690223694,6,60.0,4,0.26616399999999996,0.35933333333333334,0.6959033012390137,0.9800555625,0.8548333333333333,0.4172845780849457,0.9800555625,0.7138915625000001,4,,0.9,ok,66.58582425117493,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,1,1047897470,6,60.0,4,jittery,0.4,0.5,2.0,1.0,0.5,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,0.6666666666666666,0.5925925925925926,1.0,1.411764705882353,4,4,0,4.25,4.5,9.730880737304688,6,60.0,4,0.26132875,0.35983333333333334,0.6959125995635986,0.9837968750000001,0.8905,0.3163658380508423,0.9837968750000001,0.7224681250000001,5,,0.9,ok,49.49044132232666,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,2,2768330049,6,60.0,4,jittery,0.4,0.5,3.0,1.0,1.0,0.75,0.0,1.0,0.9962335216572504,2.582193066735133,1.0,0.9230769230769231,1.0,1.2,3,4,0,5.0,5.0,10.06919813156128,6,60.0,4,0.27922025,0.3541666666666667,0.6958653330802917,0.9570190624999999,0.8856666666666667,0.44957974553108215,0.9570190624999999,0.6777988124999998,4,,0.9,ok,56.76708245277405,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,3,959927020,6,60.0,4,jittery,0.4,0.5,1.5,1.0,0.5,0.0,0.0,1.0,0.9962335216572504,2.582193066735133,0.6666666666666666,0.6,1.0,1.5,4,4,0,4.0,4.0,10.28505164384842,6,60.0,4,0.25684806250000003,0.3545,0.6959741115570068,0.9863071874999999,0.9175,0.2971101999282837,0.9863071874999999,0.7294591249999999,5,4,0.9,ok,51.49828219413757,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,4,3214064870,6,60.0,4,jittery,0.4,0.5,1.25,1.0,0.25,0.0,0.0,1.0,0.9950248756218906,2.5812908992306927,0.6666666666666666,0.5952380952380952,1.0,1.5,4,4,0,4.0,3.75,10.604576110839844,6,60.0,4,0.261634125,0.357,0.6959341764450073,0.9867353125,0.9155,0.2989632487297058,0.9867353125,0.7251011875,5,4,0.9,ok,54.33807706832886,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,5,3768096270,6,60.0,4,jittery,0.4,0.5,2.0,1.0,0.5,0.5,0.0,1.0,1.0,2.584962500721156,0.6666666666666666,0.5925925925925926,1.0,2.0,4,4,0,3.0,3.0,8.788050949573517,6,60.0,4,0.26125112500000003,0.3576666666666667,0.6959161758422852,0.985065125,0.8773333333333333,0.3342186212539673,0.985065125,0.723814,5,,0.9,ok,45.54481863975525,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,6,44498162,6,60.0,4,jittery,0.4,0.5,1.5,0.75,0.5,0.25,0.0,1.0,0.9963609898107715,2.5824166230333305,0.6666666666666666,0.6,0.75,2.0,3,4,0,3.0,1.75,8.538659512996674,6,60.0,4,0.25220968749999995,0.35833333333333334,0.6959929466247559,0.9826618125000001,0.8045,0.4294413626194,0.9826618125000001,0.7304521250000001,4,2,0.9,ok,46.3565788269043,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,7,1089721701,6,60.0,4,jittery,0.4,0.5,1.5,1.0,0.5,0.0,0.0,1.0,0.9941176470588236,2.5806899528060816,0.6666666666666666,0.6,1.0,2.0,4,4,0,3.0,3.0,8.1407972574234,6,60.0,4,0.2759474375,0.35633333333333334,0.6959259510040283,0.9881022499999998,0.9521666666666667,0.28908592462539673,0.9881022499999998,0.7121548124999999,5,3,0.9,ok,46.649571895599365,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,8,852568211,6,60.0,4,jittery,0.4,0.5,2.75,1.0,1.0,0.5,0.0,1.0,0.9958847736625515,2.5820239409642762,0.8333333333333334,0.6954022988505747,1.0,1.2,3,4,0,5.0,5.0,10.83456301689148,6,60.0,4,0.27447993750000005,0.3515,0.6959113478660583,0.9786275625,0.8906666666666667,0.4132063090801239,0.9786275625,0.704147625,4,,0.9,ok,54.31416463851929,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,9,2755116970,6,60.0,4,jittery,0.4,0.5,1.25,0.75,0.5,0.0,0.0,1.0,0.9876543209876543,2.5761207468426806,0.5,0.46296296296296297,0.75,1.5,3,4,0,4.0,3.0,11.462066173553467,6,60.0,4,0.26195825,0.3551666666666667,0.6959208846092224,0.962742125,0.8153333333333334,0.43218639492988586,0.9716445,0.700783875,4,,0.9,ok,64.98938131332397,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,10,1196297180,6,60.0,4,jittery,0.4,0.5,3.25,1.0,1.0,0.75,0.0,1.0,1.0,2.584962500721156,1.0,0.8047619047619048,1.0,1.5,4,4,0,4.0,4.0,9.475656926631927,6,60.0,4,0.25212362499999996,0.35833333333333334,0.6959930062294006,0.9865487499999999,0.9133333333333333,0.3161981403827667,0.9865487499999999,0.7344251249999999,5,4,0.9,ok,50.36766314506531,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,11,155452644,6,60.0,4,jittery,0.4,0.5,2.5,1.0,0.75,0.5,0.0,1.0,0.9970344009489917,2.5827423149511795,0.8333333333333334,0.7575757575757576,1.0,1.5,4,4,0,4.0,4.0,8.93684732913971,6,60.0,4,0.24898312500000003,0.3526666666666667,0.695993185043335,0.9876178750000001,0.945,0.2972657084465027,0.9876178750000001,0.7386347500000001,5,4,0.9,ok,48.043638706207275,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,12,2965768413,6,60.0,4,jittery,0.4,0.5,2.25,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7105263157894737,1.0,2.0,4,4,0,3.0,3.0,9.593659937381744,6,60.0,4,0.272618,0.35633333333333334,0.6958786845207214,0.9889589999999999,0.871,0.33552125096321106,0.9889589999999999,0.7163409999999999,5,,0.9,ok,49.47778058052063,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,13,2746135771,6,60.0,4,jittery,0.4,0.5,1.75,1.0,0.5,0.25,0.0,1.0,0.9897750511247444,2.5779146348873665,0.8333333333333334,0.7424242424242424,1.0,1.5,4,4,0,4.0,4.0,11.063365519046783,6,60.0,4,0.2791208125,0.357,0.6958795785903931,0.9874225625,0.9025,0.2985600233078003,0.9874225625,0.7083017500000001,5,4,0.9,ok,54.75995421409607,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,14,2309662305,6,60.0,4,jittery,0.4,0.5,1.5,1.0,0.5,0.0,0.0,1.0,1.0,2.584962500721156,0.5,0.42857142857142855,1.0,2.0,4,4,0,3.0,3.0,9.618964076042175,6,60.0,4,0.2781938125,0.3581666666666667,0.6958943009376526,0.9851159375000001,0.8888333333333334,0.32029932737350464,0.9851159375000001,0.7069221250000002,5,,0.9,ok,52.58870244026184,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,15,2103591158,6,60.0,4,jittery,0.4,0.5,3.25,1.0,1.0,0.75,0.0,1.0,1.0,2.584962500721156,1.0,0.9086021505376344,1.0,1.5,4,4,0,4.0,3.75,8.721219182014465,6,60.0,4,0.2454684375,0.35733333333333334,0.6960239410400391,0.9855281875,0.9076666666666666,0.3115096986293793,0.9855281875,0.74005975,5,4,0.9,ok,45.78611135482788,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,16,3243895672,6,60.0,4,jittery,0.4,0.5,2.75,1.0,1.0,0.5,0.0,1.0,1.0,2.584962500721156,1.0,0.8768115942028986,1.0,1.5,4,4,0,4.0,4.0,9.455760538578033,6,60.0,4,0.29580062500000004,0.35683333333333334,0.6958116292953491,0.986512625,0.9493333333333334,0.27386316657066345,0.986512625,0.690712,5,4,0.9,ok,48.2904007434845,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,17,260076146,6,60.0,4,jittery,0.4,0.5,2.25,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7941176470588235,1.0,1.5,4,4,0,4.0,4.0,9.641440033912659,6,60.0,4,0.275798875,0.3576666666666667,0.6958874464035034,0.9848773125,0.9076666666666666,0.3068951368331909,0.9848773125,0.7090784375,5,4,0.9,ok,51.26337265968323,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,18,1209378078,6,60.0,4,jittery,0.4,0.5,2.25,1.0,0.75,0.5,0.0,1.0,1.0,2.584962500721156,0.8333333333333334,0.7105263157894737,1.0,2.0,4,4,0,3.0,3.0,8.843983352184296,6,60.0,4,0.25021668750000003,0.359,0.6959874629974365,0.9870718125,0.8966666666666666,0.30376169085502625,0.9870718125,0.7368551249999999,5,,0.9,ok,51.57900786399841,
N=6|dead_zone=0.4|link_quality=0.5|n_missions=4|regime=jittery|rrf=60.0,H1,19,469940108,6,60.0,4,jittery,0.4,0.5,2.0,1.0,0.5,0.25,0.0,1.0,0.9941176470588236,2.580689952806082,0.6666666666666666,0.5925925925925926,1.0,1.5,4,4,0,4.0,3.75,8.197485148906708,6,60.0,4,0.25858175,0.3541666666666667,0.6959366202354431,0.9830735625,0.9421666666666667,0.2681247591972351,0.9830735625,0.7244918124999999,5,3,0.9,ok,48.449522256851196,
