cell_id,arm,trial_index,seed,param_N,param_rrf,param_n_missions,param_regime,param_dead_zone,param_link_quality,update_yield,round_close_rate_kmin1,round_close_rate_kmin2,round_close_rate_kminhalf,round_close_rate_kminN,coverage,jains_fairness,participation_entropy,mission_completion_rate,completion_fairness,pass2_coverage,rho_contact,rounds_closed,missions_completed,mission_failures,pass1_contacts_mean,pass2_contacts_mean,mission_duration_s_mean,n_devices,rf_range_m,n_missions_target,init_auc,init_accuracy,init_loss,final_auc,final_accuracy,final_loss,best_auc,delta_auc,rounds_evaluated,t_at_tau_round,tau,mission_budget_s,mission_window_adaptation,status,duration_s,error
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,0,1436775290,6,50.0,8,clean,0.6,0.4,0.625,0.625,0.0,0.625,0.0,1.0,0.9234393404004712,2.527083296202981,0.3333333333333333,0.32051282051282054,0.625,1.0,5,8,0,2.25,3.125,4.895044803619385,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,40.35525918006897,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,1,3359344604,6,50.0,8,clean,0.6,0.4,2.0,1.0,0.625,0.25,0.0,1.0,0.99679699580296,2.582657572489949,0.8333333333333334,0.6881720430107527,1.0,1.5172413793103448,8,8,0,3.625,4.0,7.9035947024822235,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,64.45791220664978,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,2,2674352646,6,50.0,8,clean,0.6,0.4,2.375,1.0,0.625,0.5,0.0,1.0,0.994824016563147,2.5810328290022877,1.0,0.7616033755274262,1.0,1.5,8,8,0,3.5,4.0,7.907288104295731,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,64.46584701538086,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,3,1210819624,6,50.0,8,clean,0.6,0.4,1.75,0.75,0.5,0.5,0.0,1.0,0.9561621174524401,2.5512825454370813,0.6666666666666666,0.6049382716049383,0.75,1.0,6,8,0,3.5,4.5,5.275706440210342,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,43.41421341896057,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,4,1475403975,6,50.0,8,clean,0.6,0.4,1.0,0.625,0.25,0.125,0.0,1.0,0.9986168741355463,2.583954285014052,0.6666666666666666,0.6666666666666666,0.625,1.2857142857142858,5,8,0,3.5,3.125,8.279945015907288,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,67.48275899887085,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,5,3795365715,6,50.0,8,clean,0.6,0.4,2.25,0.875,0.75,0.5,0.0,1.0,0.98989898989899,2.577582892438548,0.6666666666666666,0.627906976744186,0.875,1.2758620689655173,7,8,0,3.625,4.375,6.399893790483475,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,52.32779502868652,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,6,1920832054,6,50.0,8,clean,0.6,0.4,2.0,0.75,0.75,0.375,0.0,1.0,0.9952634695085849,2.5815814776474455,0.8333333333333334,0.6881720430107527,0.75,1.3225806451612903,6,8,0,3.875,3.5,8.650809466838837,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,70.3465256690979,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,7,988982578,6,50.0,8,clean,0.6,0.4,2.125,0.875,0.875,0.875,0.0,1.0,0.9882422104644327,2.5761464280441566,0.8333333333333334,0.5803212851405622,0.875,1.5833333333333333,7,8,0,3.0,3.5,6.399934887886047,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,52.36245679855347,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,8,1975166446,6,50.0,8,clean,0.6,0.4,2.0,1.0,0.75,0.75,0.0,1.0,0.9278917633065715,2.5239913945805488,0.5,0.48484848484848486,1.0,1.3478260869565217,8,8,0,2.875,5.0,5.645580530166626,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,46.38762307167053,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,9,3793510831,6,50.0,8,clean,0.6,0.4,2.375,0.875,0.75,0.5,0.0,1.0,0.9940898345153665,2.5807064491561587,1.0,0.7616033755274262,0.875,1.0,7,8,0,4.875,5.25,7.524430960416794,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,61.35928416252136,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,10,1162267965,6,50.0,8,clean,0.6,0.4,2.375,1.0,0.875,0.875,0.0,1.0,0.9592169657422512,2.550542717183975,0.6666666666666666,0.6202749140893471,1.0,1.2857142857142858,8,8,0,3.5,5.0,6.405303925275803,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,52.47406601905823,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,11,2095976596,6,50.0,8,clean,0.6,0.4,2.25,1.0,0.75,0.75,0.0,1.0,0.9865023474178404,2.5747917177296213,0.8333333333333334,0.6585365853658537,1.0,1.4782608695652173,8,8,0,2.875,4.25,5.280557990074158,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,43.462252140045166,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,12,3045109907,6,50.0,8,clean,0.6,0.4,1.5,0.875,0.5,0.5,0.0,1.0,0.9238310708898945,2.5244344195826214,0.5,0.36363636363636365,0.875,1.0,7,8,0,3.125,5.25,4.897111177444458,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,40.457202434539795,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,13,3211530192,6,50.0,8,clean,0.6,0.4,1.875,1.0,0.75,0.75,0.0,1.0,0.9480286738351255,2.5459991971281424,0.5,0.42134831460674155,1.0,1.05,8,8,0,2.5,5.0,1.8907511234283447,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,16.317363262176514,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,14,64046159,6,50.0,8,clean,0.6,0.4,1.875,1.0,0.625,1.0,0.25,1.0,0.9043774668101902,2.507446289446545,0.5,0.487012987012987,1.0,1.0,8,8,0,2.875,6.0,3.0229411721229553,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,25.35062289237976,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,15,122382411,6,50.0,8,clean,0.6,0.4,1.375,0.875,0.5,0.0,0.0,1.0,0.9748516088722274,2.565214982325684,0.5,0.41156462585034015,0.875,1.391304347826087,7,8,0,2.875,3.75,5.272899299860001,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,43.41283106803894,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,16,1437188935,6,50.0,8,clean,0.6,0.4,1.25,1.0,0.25,0.25,0.0,1.0,0.937984496124031,2.539484756931502,0.3333333333333333,0.28735632183908044,1.0,1.125,8,8,0,2.0,4.0,2.2695986926555634,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,19.395052671432495,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,17,1768917727,6,50.0,8,clean,0.6,0.4,1.5,0.875,0.5,0.125,0.0,1.0,0.9909677419354839,2.5784313879192267,0.8333333333333334,0.7058823529411765,0.875,1.2285714285714286,7,8,0,4.375,4.375,10.16798049211502,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,82.51031517982483,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,18,478208583,6,50.0,8,clean,0.6,0.4,1.375,0.875,0.375,0.375,0.0,1.0,0.9473684210526315,2.543636673733242,0.8333333333333334,0.5761904761904761,0.875,1.0,7,8,0,3.375,5.25,6.02723890542984,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,49.4209418296814,
N=6|dead_zone=0.6|link_quality=0.4|n_missions=8|regime=clean|rrf=50.0,H1,19,319351398,6,50.0,8,clean,0.6,0.4,2.125,1.0,0.625,0.625,0.0,1.0,0.9711149624494512,2.562681802217863,0.6666666666666666,0.5946502057613169,1.0,1.3076923076923077,8,8,0,3.25,5.0,6.025931358337402,6,50.0,8,,,,,,,,,0,,,120.0,1,ok,49.43111205101013,
